id,num_contact,age,occupation
0,18,70,3
1,230,8,5
2,119,44,1
3,229,57,1
4,121,46,1
5,233,12,5
6,114,45,1
7,223,55,1
8,230,26,1
9,142,42,1
10,232,47,1
11,139,53,1
12,31,51,3
13,235,25,1
14,229,52,1
15,222,14,5
16,15,1,3
17,133,34,1
19,26,71,3
20,138,44,1
21,126,52,1
22,5,78,3
23,30,87,3
24,229,3,5
25,229,3,5
26,223,3,5
27,247,3,5
28,231,4,5
29,243,5,5
30,238,8,5
31,7,80,3
32,19,83,3
33,233,7,5
34,1,69,3
35,8,65,3
36,232,20,5
37,14,84,3
38,17,86,3
39,254,60,1
40,142,36,1
41,115,45,1
42,126,63,1
43,241,5,5
44,249,5,5
45,209,4,5
46,209,8,5
47,17,0,3
48,9,55,3
49,109,50,1
50,21,61,3
51,214,52,1
52,237,34,1
53,122,29,1
54,23,99,3
55,35,95,3
56,21,97,3
57,17,91,3
58,13,91,3
59,7,88,3
60,21,90,3
61,22,90,3
62,30,89,3
63,32,93,3
64,27,95,3
65,7,47,3
66,227,32,1
67,12,46,3
68,28,75,3
69,236,54,1
70,249,52,1
71,248,22,5
72,237,52,1
73,20,51,3
74,23,36,3
75,24,66,3
76,8,51,3
77,225,38,1
78,10,76,3
79,228,33,1
80,253,24,5
81,205,17,5
82,19,68,3
83,22,75,3
84,134,36,1
85,1,42,3
86,233,13,5
87,129,45,1
88,110,51,1
89,224,51,1
90,180,24,1
91,233,19,5
92,116,31,1
93,220,54,1
94,226,36,1
95,227,44,1
96,11,79,3
97,35,77,3
98,238,16,5
100,11,78,3
101,275,53,1
102,149,56,1
103,113,40,1
104,235,20,5
105,231,32,1
106,235,4,5
107,110,42,1
108,226,37,1
109,225,49,1
110,225,21,1
111,120,48,1
112,126,46,1
113,29,65,3
114,23,74,3
115,226,6,5
116,7,1,3
117,123,41,1
118,139,50,1
119,203,49,1
120,10,71,3
121,132,51,1
122,121,56,1
123,205,16,5
124,240,29,1
125,231,9,5
126,133,52,1
127,228,69,1
128,211,33,1
129,125,38,1
130,133,52,1
131,203,4,5
132,253,12,5
133,21,71,3
134,109,43,1
135,115,24,1
136,230,28,1
137,133,25,1
138,151,50,1
139,254,55,1
140,255,46,1
141,119,27,1
142,125,29,1
143,227,3,5
144,133,33,1
145,30,78,3
146,0,37,3
147,22,57,3
148,207,31,1
149,116,49,1
150,227,37,1
151,6,69,3
152,129,51,1
153,114,31,1
154,116,23,1
155,224,25,1
156,224,18,5
157,239,45,1
158,129,52,1
159,145,48,1
160,7,1,3
161,107,88,1
162,19,81,3
163,126,27,1
164,215,50,1
165,10,44,3
166,249,11,5
167,229,16,5
168,212,54,1
169,115,50,1
170,23,81,3
171,255,41,1
172,139,35,1
173,115,37,1
174,116,26,1
175,99,45,1
176,150,48,1
177,24,73,3
178,219,55,1
179,125,24,1
181,228,7,5
182,206,45,1
183,21,72,3
184,205,6,5
185,222,32,1
186,123,30,1
187,10,0,3
188,258,32,1
189,128,32,1
190,233,30,1
191,240,50,1
192,30,76,3
193,19,86,3
194,248,39,1
195,134,52,1
196,194,20,5
197,233,26,1
198,33,56,3
199,128,32,1
200,221,40,1
201,128,28,1
202,213,41,1
203,225,10,5
204,127,44,1
206,120,35,1
207,205,13,5
208,18,63,3
209,132,54,1
210,224,6,5
211,18,74,3
212,142,34,1
213,3,71,3
214,241,17,5
215,126,35,1
216,21,70,3
217,205,7,5
218,10,0,3
219,231,17,5
220,144,25,1
221,95,60,1
222,131,33,1
223,112,27,1
224,134,42,1
225,30,56,3
226,15,64,3
227,234,3,5
228,131,30,1
229,26,80,3
230,145,31,1
231,36,56,3
232,203,19,5
233,247,18,5
234,17,1,3
235,150,52,1
236,247,10,5
237,4,71,3
238,257,29,1
239,233,32,1
240,235,25,1
241,34,74,3
242,4,74,3
243,236,3,5
244,239,38,1
245,225,14,5
246,229,49,1
247,116,26,1
248,226,21,5
249,144,52,1
250,244,35,1
251,9,67,3
252,242,48,1
253,252,9,5
254,20,57,3
255,243,20,5
256,3,52,3
257,233,3,5
259,210,5,5
260,245,51,1
261,235,47,1
262,135,20,1
263,27,0,3
264,137,33,1
265,95,41,1
266,233,7,5
267,216,16,5
268,37,19,3
269,148,50,1
270,22,53,3
271,236,13,5
272,225,15,5
273,219,45,1
274,231,30,1
275,216,4,5
276,253,8,5
277,124,27,1
278,7,68,3
279,218,44,1
280,236,27,1
281,120,53,1
282,109,32,1
283,245,39,1
284,25,62,3
285,224,6,5
286,110,47,1
287,224,44,1
288,107,48,1
289,21,74,3
290,4,73,3
291,255,5,5
292,29,60,3
293,117,46,1
294,22,39,3
295,133,34,1
296,238,22,5
297,23,80,3
298,139,45,1
299,147,41,1
300,231,25,1
301,18,2,3
302,132,34,1
303,129,54,1
304,223,4,5
305,17,84,3
306,10,56,3
307,245,57,1
308,215,17,5
309,3,72,3
310,228,48,1
311,214,8,5
312,38,0,3
313,218,33,1
314,230,43,1
315,228,42,1
316,127,51,1
317,142,30,1
318,140,52,1
319,252,30,1
320,229,58,1
321,13,0,3
322,112,48,1
323,32,66,3
324,113,47,1
325,25,65,3
326,27,62,3
327,236,4,5
328,130,40,1
329,111,45,1
330,112,23,1
331,228,52,1
332,5,77,3
333,15,2,3
334,109,36,1
335,123,29,1
336,257,37,1
338,122,35,1
339,129,28,1
340,118,53,1
341,222,54,1
342,241,28,1
343,124,22,1
344,215,5,5
345,34,79,3
346,138,23,1
347,123,44,1
348,32,1,3
349,210,4,5
350,260,51,1
351,109,31,1
352,208,20,5
353,119,43,1
354,112,46,1
355,14,73,3
356,11,78,3
357,202,6,5
358,130,41,1
359,250,13,5
360,151,28,1
361,206,12,5
362,217,13,5
363,240,11,5
364,149,40,1
365,265,24,5
366,231,18,5
367,234,22,5
368,232,47,1
369,216,21,5
370,32,59,3
371,225,42,1
372,231,9,5
373,222,32,1
374,136,34,1
375,22,62,3
376,238,20,5
377,243,9,5
378,205,44,1
379,125,35,1
380,207,3,5
381,97,36,1
382,230,43,1
383,98,42,1
384,250,8,5
385,240,45,1
386,142,47,1
387,9,39,3
388,161,50,1
389,146,51,1
390,241,11,5
391,231,7,5
392,225,8,5
393,228,12,5
394,228,39,1
395,233,29,1
396,223,3,5
397,117,44,1
398,126,52,1
399,26,0,3
400,235,19,5
401,134,49,1
402,21,77,3
403,124,33,1
404,112,45,1
405,113,45,1
406,206,35,1
407,217,15,5
408,29,71,3
