id,num_contact,age,occupation
0,16,70,3
1,209,8,5
2,102,44,1
3,129,57,1
4,131,46,1
5,206,12,5
6,125,45,1
7,231,55,1
8,238,26,1
9,231,42,1
10,134,47,1
11,233,53,1
12,21,51,3
13,240,25,1
14,122,52,1
15,234,14,5
16,11,1,3
17,231,34,1
18,15,69,3
19,20,71,3
20,239,44,1
21,241,52,1
22,27,78,3
23,19,87,3
24,229,3,5
25,223,3,5
26,226,3,5
27,238,3,5
28,250,4,5
29,219,5,5
30,221,8,5
31,15,80,3
32,16,83,3
33,235,7,5
34,20,69,3
35,2,65,3
36,220,20,5
37,23,84,3
38,16,86,3
39,239,60,1
40,227,36,1
41,99,45,1
42,147,63,1
43,247,5,5
44,261,5,5
45,257,4,5
46,251,8,5
47,22,0,3
48,28,55,3
49,236,50,1
50,23,61,3
51,237,52,1
52,132,34,1
53,103,29,1
54,32,99,3
55,34,95,3
56,33,97,3
57,6,91,3
58,27,91,3
59,20,88,3
60,21,90,3
61,26,90,3
62,20,89,3
64,28,95,3
65,20,47,3
66,134,32,1
67,20,46,3
68,17,75,3
69,130,54,1
70,249,52,1
71,218,22,5
72,211,52,1
73,28,51,3
75,12,66,3
76,7,51,3
77,128,38,1
78,29,76,3
79,127,33,1
80,222,24,5
81,223,17,5
82,9,68,3
83,19,75,3
84,123,36,1
85,16,42,3
86,209,13,5
87,205,45,1
88,154,51,1
89,135,51,1
90,146,24,1
91,222,19,5
92,119,31,1
93,228,54,1
94,133,36,1
95,130,44,1
96,14,79,3
97,27,77,3
98,248,16,5
99,14,69,3
100,31,78,3
101,204,53,1
102,192,56,1
103,211,40,1
104,232,20,5
105,222,32,1
106,234,4,5
107,128,42,1
108,244,37,1
109,107,49,1
110,97,21,1
111,124,48,1
112,136,46,1
113,15,65,3
114,5,74,3
115,216,6,5
116,14,1,3
117,151,41,1
118,211,50,1
119,143,49,1
120,4,71,3
121,156,51,1
122,229,56,1
123,240,16,5
124,221,29,1
125,227,9,5
126,228,52,1
127,154,69,1
128,112,33,1
129,233,38,1
130,131,52,1
131,243,4,5
132,226,12,5
133,18,71,3
134,101,43,1
135,143,24,1
136,143,28,1
137,219,25,1
138,158,50,1
139,120,55,1
140,228,46,1
141,235,27,1
142,138,29,1
143,215,3,5
144,116,33,1
145,27,78,3
146,21,37,3
147,19,57,3
148,236,31,1
149,223,49,1
150,230,37,1
151,12,69,3
152,234,51,1
153,96,31,1
154,239,23,1
155,127,25,1
156,205,18,5
157,129,45,1
158,130,52,1
159,127,48,1
160,5,1,3
161,116,88,1
162,4,81,3
163,142,27,1
164,228,50,1
165,15,44,3
166,220,11,5
167,248,16,5
168,217,54,1
169,140,50,1
170,13,81,3
171,134,41,1
172,207,35,1
173,115,37,1
174,142,26,1
175,232,45,1
176,236,48,1
177,21,73,3
178,119,55,1
179,206,24,1
180,5,0,3
181,249,7,5
182,132,45,1
183,17,72,3
184,226,6,5
185,230,32,1
186,217,30,1
187,16,0,3
188,144,32,1
189,226,32,1
190,121,30,1
191,110,50,1
192,21,76,3
193,22,86,3
194,241,39,1
195,237,52,1
196,218,20,5
197,146,26,1
198,37,56,3
199,152,32,1
200,249,40,1
201,206,28,1
202,107,41,1
203,209,10,5
204,199,44,1
205,6,74,3
206,135,35,1
207,253,13,5
208,2,63,3
209,117,54,1
210,239,6,5
211,18,74,3
212,109,34,1
213,12,71,3
214,219,17,5
215,231,35,1
216,21,70,3
217,229,7,5
218,13,0,3
219,225,17,5
220,233,25,1
221,146,60,1
222,253,33,1
223,130,27,1
224,151,42,1
225,5,56,3
226,6,64,3
227,231,3,5
228,140,30,1
229,10,80,3
230,247,31,1
231,20,56,3
232,224,19,5
233,230,18,5
234,20,1,3
235,123,52,1
236,233,10,5
237,25,71,3
238,124,29,1
239,236,32,1
240,122,25,1
241,9,74,3
242,23,74,3
243,235,3,5
244,137,38,1
245,226,14,5
246,220,49,1
247,101,26,1
248,198,21,5
249,224,52,1
250,249,35,1
251,11,67,3
252,115,48,1
253,227,9,5
254,31,57,3
255,201,20,5
256,14,52,3
257,205,3,5
258,27,67,3
259,246,5,5
260,127,51,1
261,204,47,1
262,110,20,1
263,23,0,3
264,141,33,1
265,98,41,1
266,225,7,5
267,225,16,5
268,7,19,3
269,122,50,1
270,17,53,3
271,218,13,5
272,250,15,5
273,149,45,1
274,228,30,1
275,230,4,5
276,244,8,5
277,232,27,1
278,2,68,3
279,150,44,1
280,240,27,1
281,129,53,1
282,238,32,1
283,115,39,1
284,15,62,3
285,229,6,5
286,250,47,1
287,141,44,1
288,128,48,1
289,6,74,3
290,15,73,3
291,227,5,5
292,5,60,3
293,141,46,1
294,27,39,3
295,260,34,1
296,192,22,5
297,21,80,3
298,109,45,1
299,136,41,1
300,147,25,1
301,31,2,3
302,222,34,1
303,129,54,1
304,209,4,5
305,8,84,3
306,2,56,3
307,115,57,1
308,216,17,5
309,26,72,3
310,208,48,1
311,217,8,5
312,4,0,3
313,264,33,1
314,234,43,1
315,133,42,1
316,227,51,1
317,190,30,1
318,254,52,1
319,113,30,1
320,247,58,1
321,8,0,3
322,233,48,1
323,19,66,3
324,236,47,1
325,18,65,3
326,16,62,3
327,260,4,5
328,213,40,1
329,225,45,1
330,111,23,1
331,138,52,1
333,22,2,3
334,213,36,1
335,218,29,1
336,237,37,1
337,13,54,3
338,241,35,1
339,253,28,1
340,117,53,1
341,142,54,1
342,136,28,1
343,137,22,1
344,241,5,5
345,28,79,3
346,120,23,1
347,110,44,1
348,26,1,3
349,221,4,5
350,148,51,1
351,135,31,1
352,208,20,5
353,142,43,1
354,240,46,1
355,6,73,3
356,15,78,3
357,240,6,5
358,223,41,1
359,222,13,5
360,237,28,1
361,251,12,5
362,217,13,5
363,194,11,5
364,131,40,1
365,228,24,5
366,222,18,5
367,218,22,5
368,116,47,1
369,233,21,5
370,11,59,3
371,241,42,1
372,226,9,5
373,128,32,1
374,114,34,1
375,25,62,3
376,252,20,5
377,201,9,5
378,115,44,1
379,124,35,1
380,203,3,5
381,219,36,1
382,134,43,1
383,206,42,1
384,231,8,5
385,143,45,1
386,144,47,1
387,35,39,3
388,142,50,1
389,130,51,1
390,230,11,5
391,234,7,5
392,195,8,5
393,241,12,5
394,124,39,1
395,132,29,1
396,230,3,5
397,122,44,1
398,239,52,1
399,25,0,3
400,222,19,5
401,234,49,1
402,24,77,3
403,257,33,1
404,147,45,1
405,117,45,1
406,118,35,1
407,214,15,5
408,12,71,3
409,127,52,1
410,238,27,1
411,131,28,1
412,14,68,3
413,220,11,5
414,210,38,1
415,227,24,1
416,12,76,3
417,109,55,1
418,237,27,5
419,14,51,3
420,5,58,3
421,280,17,5
422,238,14,5
423,219,42,1
424,15,78,3
425,111,47,1
426,19,50,3
427,10,61,3
428,25,54,3
429,139,36,1
430,117,39,1
431,119,44,1
432,14,1,3
433,227,45,1
434,228,19,1
435,24,51,3
436,131,27,1
437,120,52,1
438,17,76,3
439,123,52,1
440,13,78,3
441,219,10,5
442,266,3,5
443,237,26,1
444,127,50,1
445,8,66,3
446,14,64,3
447,35,2,3
448,126,46,1
449,117,48,1
450,24,68,3
451,212,7,5
452,4,68,3
453,134,52,1
454,131,52,1
455,226,4,5
456,218,53,1
457,231,51,1
458,227,35,1
459,122,51,1
460,24,63,3
461,5,60,3
462,220,11,5
463,119,52,1
464,185,49,1
465,236,18,5
466,260,43,5
467,220,54,1
468,208,14,5
469,256,3,5
470,219,14,5
471,22,64,3
472,18,1,3
473,201,18,5
474,195,12,5
475,240,44,1
476,146,48,1
477,241,18,5
478,14,1,3
479,7,66,3
480,241,32,1
481,9,78,3
482,245,18,5
483,128,36,1
484,255,46,1
485,214,53,1
486,2,56,3
487,131,40,1
488,114,26,1
489,230,14,5
490,26,82,3
491,9,59,3
492,35,2,3
493,14,83,3
494,141,48,1
495,10,52,3
496,18,73,3
497,227,19,5
498,21,76,3
499,217,51,1
500,127,37,1
501,219,28,1
502,114,49,1
503,247,8,5
504,239,13,5
505,232,21,5
506,117,41,1
507,217,38,1
508,25,52,3
509,31,24,3
510,231,9,5
511,17,71,3
512,15,76,3
513,18,79,3
514,139,41,1
515,236,49,1
516,191,12,5
517,14,73,3
518,204,3,5
519,101,42,1
520,214,14,5
521,118,38,1
522,35,73,3
523,123,28,1
524,33,62,3
525,17,68,3
526,18,0,3
527,223,27,1
528,140,29,1
529,152,55,1
530,124,20,1
531,225,35,1
532,245,54,1
533,31,69,3
534,246,6,5
535,233,5,5
536,142,27,1
537,213,6,5
538,138,45,1
539,239,37,1
540,236,5,5
541,207,35,1
542,236,6,5
543,224,54,1
544,206,27,1
545,244,41,1
546,108,26,1
547,235,8,5
548,16,59,3
549,238,15,5
550,131,44,1
551,26,68,3
552,226,32,1
553,128,49,1
554,110,38,1
555,222,21,5
556,241,22,5
557,274,50,1
558,11,54,3
559,1,87,3
560,123,35,1
561,216,41,1
562,228,33,1
563,140,30,1
