id,num_contact
1856,4023
2251,20814
5294,22445
5966,24046
6286,21460
6927,21607
9930,24347
10419,21684
10504,25329
12958,21477
19607,21478
21748,24389
22259,1922
25946,24951
27902,22358
27905,19723
29501,1435
31741,23178
32126,4870
33118,3754
36037,24393
36421,21474
38226,3770
39743,2744
40026,21199
40027,22471
40028,22189
40029,22426
40030,22175
40032,18836
40033,21336
40034,3299
40036,1356
41931,20951
42430,3785
43226,1170
43404,20626
45114,4950
46508,2921
46568,21461
46753,24343
46755,23952
48977,21476
50042,22176
50046,21013
50047,21403
50049,22322
50050,4415
54681,2413
55197,24089
55976,3632
56016,21778
59635,21384
59730,21684
60001,3804
60002,2353
60003,3805
60004,3275
60005,2643
60006,1358
60007,4408
60008,4543
60009,659
60011,2510
60012,4439
65989,3749
72620,24032
77167,4517
78144,713
81043,21458
81678,21687
81991,21312
84346,21479
92192,1436
93834,2415
97902,2477
101292,3752
101499,21479
101565,3620
102388,24062
104728,22080
108387,22232
108837,272
111403,3949
113146,23934
115983,1148
118408,22391
118535,22461
120038,21457
120152,21461
120226,21474
123951,21292
124592,23984
127249,22765
127270,21477
127299,24301
129718,3364
130779,3175
132169,22170
132701,3680
133609,1965
140370,21461
143921,21684
147268,24346
147532,21222
151212,24061
154799,21122
160773,21383
163265,22762
163924,21384
170596,23174
170729,24394
170929,21477
172249,4500
174345,4514
178287,22232
181118,4497
181882,24815
184160,23936
185601,24072
185602,20636
185603,4016
185604,22854
185605,25045
185606,22750
185607,1955
188189,22960
188749,761
191529,21367
192682,24076
201795,22312
205052,21369
210174,18926
213544,22855
215665,21778
216250,24078
216622,23081
217612,24374
218307,20488
218575,19837
221582,4965
222889,24284
223825,24283
225101,24045
225102,20504
225103,21186
225104,22175
225105,22238
225106,20593
225107,22533
225108,19851
225109,3358
225110,21991
225111,19524
225112,23934
225113,25270
225114,19393
225115,19717
225116,20600
225117,19493
225118,1456
225119,1521
225120,22962
225664,22869
227760,25347
231634,23931
236095,21478
237254,22801
238070,21385
239183,24300
239374,21242
241778,23970
243369,719
244303,2369
244706,4071
249821,23896
255010,24880
256146,23929
258605,3752
262080,21368
270985,22751
274203,21462
278685,21478
279254,22270
280492,24089
282627,21475
285321,24349
287388,3275
291891,22482
293498,3943
295573,24395
296341,21478
299253,1867
301380,22171
301390,22497
301545,21384
302280,21779
302511,4450
310248,23970
320422,21686
321110,21685
321267,24393
327374,22752
328869,22767
332397,3172
333698,21477
333803,21774
334010,2149
343842,19724
348080,23172
350282,3168
351232,22379
352221,21475
354251,24017
356060,1243
357065,21477
358257,21776
358496,21474
358599,21369
359305,297
359677,3680
364557,24092
370614,1957
374335,22194
375326,21385
379514,4435
384555,24092
384769,21685
386213,23951
386919,21384
387316,20255
390853,22974
390885,3843
395326,24336
398508,22083
400839,4541
401108,21779
403196,21516
413191,3282
423858,21775
426803,3267
427469,22319
429622,23841
433959,3661
434554,19556
437552,4903
440307,20633
440673,22851
444168,21473
445518,21477
447699,24254
450487,21686
452932,4458
459120,3266
461022,22416
462393,21775
475876,4426
479362,21461
483004,3329
483452,18902
484521,21308
485163,3004
487913,24375
493829,19576
494521,1199
496477,21461
498382,24193
498428,23950
499299,3803
502804,3323
505287,21470
510954,22659
512085,20489
519786,24029
519853,22758
526803,20589
527040,23928
527208,21461
527263,4513
529401,24075
529402,21460
529403,24967
529404,21001
529405,2853
529406,24060
529407,23950
529408,22534
529409,22873
529410,22444
531555,24953
533030,22254
534460,4982
534636,21276
537177,1243
545163,22288
545368,3218
545556,22200
546107,24863
546929,22871
547516,21475
548628,1202
551273,24031
553002,21369
553393,22175
556142,19491
556706,1148
561144,25066
566160,4973
566343,19653
566367,22165
571109,22977
571324,23931
572734,20649
576031,22015
576680,24344
581550,1466
583315,22859
584049,23849
584918,21464
592766,21685
593600,24975
