household_id,person_id,age,occupation,work_school_place
153,866,28,1,55
119,819,35,1,11
153,11,1,5,79
119,365,53,1,41
154,149,9,5,82
154,141,70,3,-1
187,820,34,1,4
154,750,27,3,-1
120,852,30,1,3
221,200,11,5,83
155,343,41,1,52
255,851,33,1,53
221,90,70,3,-1
187,599,54,1,0
155,936,20,5,78
255,213,14,5,80
187,209,13,5,83
255,107,69,3,-1
289,823,36,1,53
188,430,50,1,6
222,990,79,3,-1
155,772,24,5,78
256,700,37,1,30
156,481,64,1,34
188,798,23,5,78
289,386,57,3,-1
188,744,25,3,-1
120,176,6,5,82
256,193,11,5,83
156,190,9,5,81
290,720,36,1,1
189,354,59,1,11
156,102,69,3,-1
256,943,80,3,-1
157,420,60,1,51
257,493,49,1,20
157,294,64,3,-1
257,453,59,1,69
158,0,3,5,79
258,109,74,3,-1
158,142,73,3,-1
258,484,63,3,-1
222,310,42,3,-1
159,907,24,5,78
290,43,65,3,-1
189,616,60,3,-1
291,999,84,3,-1
259,404,55,1,36
159,342,46,3,-1
291,328,52,3,-1
357,469,50,1,45
120,910,26,3,-1
160,339,43,1,73
259,482,44,1,29
323,6,4,5,79
260,296,61,1,1
160,963,82,3,-1
323,79,72,3,-1
121,380,64,1,45
260,150,5,5,79
161,695,30,1,7
223,561,50,1,1
323,247,92,3,-1
223,836,20,1,0
261,414,59,1,38
292,917,25,1,13
391,306,55,1,3
357,197,14,5,80
161,679,16,5,80
391,439,55,1,31
84,576,55,1,67
190,521,53,1,26
425,398,52,1,19
292,739,23,1,59
261,765,20,5,78
425,276,41,3,-1
391,164,10,5,82
84,179,6,5,81
426,346,63,1,10
190,816,36,1,40
261,559,40,3,-1
293,221,9,5,82
84,960,80,3,-1
392,119,70,3,-1
85,607,52,1,51
358,368,64,1,5
162,854,37,1,9
358,355,60,1,2
162,931,27,1,55
359,792,36,1,33
163,636,16,5,80
262,802,31,1,68
293,66,70,3,-1
262,638,17,5,80
392,307,57,3,-1
293,993,81,3,-1
262,103,74,3,-1
191,665,15,5,80
426,948,84,3,-1
191,39,3,5,79
427,872,36,3,-1
191,47,72,3,-1
294,511,54,1,54
263,14,1,5,79
294,505,47,1,55
263,655,16,5,80
393,291,52,1,8
85,148,14,5,80
294,214,9,5,81
263,255,87,3,-1
295,841,25,3,-1
264,33,1,5,79
295,120,73,3,-1
192,351,61,1,3
163,921,34,3,-1
224,513,47,1,29
264,106,74,3,-1
225,924,38,1,61
427,966,75,3,-1
225,269,88,3,-1
164,388,46,1,3
226,787,29,1,59
164,163,13,5,83
226,751,28,1,75
86,781,31,1,6
393,682,18,5,80
86,748,34,1,61
394,623,43,1,75
86,677,15,5,80
227,557,51,1,71
192,726,30,1,0
264,134,65,3,-1
296,609,48,1,22
265,860,38,1,71
296,89,69,3,-1
227,155,12,5,83
87,367,55,1,71
394,567,62,1,44
297,560,44,1,69
265,654,19,5,78
297,231,13,5,83
265,466,44,3,-1
298,762,26,1,3
266,864,32,1,11
428,384,63,1,34
193,874,37,1,19
298,662,19,5,78
266,125,74,3,-1
428,411,44,1,17
193,676,16,5,80
87,178,8,5,82
394,422,54,1,2
87,5,0,5,79
395,503,48,1,33
194,428,56,1,45
429,795,38,1,7
194,947,81,3,-1
429,297,43,1,4
195,911,23,5,78
429,706,38,1,15
195,81,67,3,-1
430,340,40,1,25
196,590,42,1,76
298,78,65,3,-1
267,828,36,1,42
299,369,40,1,65
267,218,8,5,82
164,101,72,3,-1
228,403,59,1,27
268,20,3,5,79
299,96,74,3,-1
268,234,10,5,82
300,721,26,1,9
196,540,61,1,23
430,507,61,1,52
