household_id,person_id,age,occupation,work_school_place
84,343,63,1,6
254,245,91,3,-1
152,885,31,1,5
220,594,47,3,-1
390,439,54,1,44
322,472,61,1,42
186,938,82,3,-1
288,830,38,1,55
84,382,58,1,65
84,697,22,5,78
84,14,1,5,79
85,604,46,1,35
85,295,42,1,23
85,22,3,5,79
86,456,51,1,5
86,244,5,5,79
86,218,8,5,82
288,272,63,3,-1
87,309,58,1,19
87,141,70,3,-1
88,680,19,5,78
322,222,9,5,82
88,645,19,5,78
88,129,72,3,-1
289,886,27,1,46
289,332,51,1,14
323,434,47,1,9
323,81,67,3,-1
290,479,58,1,22
290,230,8,5,82
89,723,24,5,78
89,52,68,3,-1
324,628,43,1,69
290,982,80,3,-1
324,847,32,1,62
291,897,38,1,40
186,269,88,3,-1
291,171,7,5,81
291,889,31,3,-1
324,763,23,5,78
89,947,81,3,-1
220,955,80,3,-1
187,937,83,3,-1
221,946,81,3,-1
292,814,39,1,29
325,918,33,1,2
187,961,84,3,-1
292,47,72,3,-1
325,650,17,5,80
293,603,41,1,29
325,62,70,3,-1
293,65,69,3,-1
326,361,42,1,55
294,407,46,1,29
188,6,4,5,79
90,720,26,1,3
222,438,40,1,67
326,112,71,3,-1
294,172,10,5,82
152,240,12,5,83
390,659,17,5,80
90,432,53,1,9
327,674,16,5,80
152,640,18,5,80
327,51,67,3,-1
153,799,21,5,78
328,315,45,1,16
390,656,18,5,80
90,666,19,5,78
188,15,0,5,79
222,930,32,1,46
188,958,78,3,-1
391,579,42,1,49
91,783,26,1,2
391,282,40,1,69
91,345,48,1,51
223,562,61,1,49
328,202,11,5,83
92,547,51,3,-1
391,182,9,5,81
92,260,95,3,-1
392,561,40,1,39
93,753,32,1,59
392,187,12,5,83
93,79,72,3,-1
223,517,54,1,33
153,976,83,3,-1
94,852,39,1,36
392,586,60,3,-1
189,828,36,1,6
94,642,16,5,80
393,590,40,1,53
95,204,11,5,83
393,731,21,5,78
224,397,53,1,22
393,156,9,5,82
95,489,61,3,-1
394,617,50,1,37
153,255,87,3,-1
424,266,91,3,-1
154,869,34,1,15
394,196,14,5,80
95,249,99,3,-1
224,192,9,5,81
329,84,67,3,-1
96,181,14,5,80
225,505,57,1,26
189,907,29,3,-1
225,509,53,3,-1
190,754,39,1,31
226,426,56,1,4
190,633,19,5,78
226,615,58,1,13
191,496,50,3,-1
226,758,20,5,78
191,583,62,3,-1
227,166,11,5,83
154,609,42,1,13
424,111,69,3,-1
155,221,9,5,82
425,593,56,1,75
96,50,66,3,-1
394,90,70,3,-1
97,33,1,5,79
395,527,54,1,45
97,455,54,3,-1
425,582,60,1,54
329,760,29,3,-1
97,142,73,3,-1
395,205,7,5,82
98,211,12,5,83
395,466,63,3,-1
98,198,7,5,82
330,385,64,1,43
295,475,42,1,7
426,809,26,1,13
155,983,84,3,-1
426,607,54,1,15
192,565,62,1,19
227,285,46,3,-1
396,297,59,1,19
98,556,64,3,-1
192,880,23,5,78
227,252,88,3,-1
193,913,25,1,33
295,581,50,1,53
396,808,23,5,78
99,304,57,1,9
427,68,74,3,-1
156,690,34,1,0
396,756,29,3,-1
99,965,80,3,-1
156,667,16,5,80
427,999,81,3,-1
397,185,14,5,80
428,613,51,1,55
228,190,9,5,81
193,550,60,1,43
295,5,0,5,79
157,515,61,1,61
428,736,32,3,-1
157,274,45,3,-1
429,842,39,1,59
158,40,3,5,79
194,482,55,1,52
228,227,6,5,82
100,825,31,1,6
330,131,67,3,-1
296,331,54,1,21
158,448,56,3,-1
429,943,75,3,-1
228,942,75,3,-1
194,21,1,5,79
100,703,31,1,64
397,98,70,3,-1
101,901,33,1,60
397,484,49,3,-1
101,258,99,3,-1
398,514,45,1,46
102,558,49,1,54
159,599,52,1,60
331,805,20,5,78
296,368,61,1,20
229,954,79,3,-1
194,32,1,5,79
102,663,19,5,78
398,670,19,5,78
103,813,33,1,42
229,973,84,3,-1
195,832,31,1,33
230,915,22,5,78
429,53,72,3,-1
159,63,74,3,-1
430,932,25,1,45
195,924,37,3,-1
398,676,16,5,80
230,13,0,5,79
398,101,72,3,-1
331,69,66,3,-1
160,193,11,5,83
430,378,63,1,25
160,78,65,3,-1
430,270,40,1,24
230,328,62,3,-1
196,681,15,5,80
231,457,47,1,46
331,268,95,3,-1
196,120,73,3,-1
231,649,17,5,80
196,83,70,3,-1
231,922,23,5,78
161,555,46,1,8
197,795,35,1,65
232,173,8,5,81
197,178,8,5,82
232,267,95,3,-1
198,487,51,1,7
233,384,47,1,3
431,500,51,1,29
234,884,22,1,62
198,837,24,5,78
332,99,65,3,-1
297,436,41,1,36
399,513,48,1,55
161,30,2,5,79
431,718,33,1,39
161,793,30,3,-1
297,175,9,5,82
332,508,59,3,-1
297,341,42,3,-1
333,333,40,1,23
298,324,45,1,67
103,668,17,5,80
298,781,30,1,6
431,138,72,3,-1
162,743,26,3,-1
333,841,23,5,78
198,698,36,3,-1
399,627,63,1,48
103,157,10,5,81
163,737,29,1,77
432,606,61,1,76
163,911,35,1,33
432,435,53,1,56
164,242,9,5,81
399,278,62,1,10
433,801,36,1,36
400,440,60,1,43
104,867,28,1,42
400,356,62,3,-1
433,939,82,3,-1
299,443,53,1,29
433,957,75,3,-1
164,17,2,5,79
434,824,37,3,-1
299,927,32,1,0
401,291,49,1,64
104,953,80,3,-1
401,564,62,1,45
105,491,49,1,21
333,478,44,3,-1
299,857,23,5,78
164,960,76,3,-1
401,750,27,1,3
165,537,50,1,4
434,248,89,3,-1
165,200,11,5,83
434,46,66,3,-1
165,764,22,3,-1
435,275,60,1,28
234,125,74,3,-1
199,826,34,1,3
235,383,41,1,65
199,639,16,5,80
235,689,37,1,18
200,27,4,5,79
334,494,62,1,71
435,791,23,3,-1
166,372,43,1,56
436,380,54,1,1
236,485,44,1,38
166,355,60,1,25
436,467,42,3,-1
236,796,27,1,52
200,232,9,5,82
402,433,64,1,40
200,113,70,3,-1
105,629,44,1,63
237,523,46,1,33
201,38,0,5,79
237,136,70,3,-1
105,153,6,5,81
402,708,31,1,29
106,898,31,1,46
403,539,54,1,50
106,276,50,3,-1
403,349,60,1,61
107,530,56,1,67
404,804,30,1,34
238,164,10,5,82
201,122,70,3,-1
166,206,7,5,82
436,264,87,3,-1
167,325,46,1,51
437,420,59,1,17
300,183,10,5,82
201,253,98,3,-1
238,803,34,3,-1
202,782,28,1,43
405,277,48,1,54
107,262,91,3,-1
405,292,48,1,23
108,412,46,1,30
202,195,5,5,79
238,130,74,3,-1
300,934,31,3,-1
334,316,47,3,-1
202,116,67,3,-1
239,768,31,1,6
437,952,76,3,-1
167,224,5,5,79
438,576,61,1,41
168,844,34,1,45
438,398,57,1,11
168,39,3,5,79
300,905,36,3,-1
335,326,48,1,20
438,693,27,3,-1
168,238,8,5,81
439,740,26,1,7
406,759,39,1,13
108,619,59,1,11
406,588,52,1,35
439,323,42,3,-1
169,299,54,1,35
335,146,14,5,80
440,360,44,1,7
169,36,3,5,79
440,458,47,1,59
407,454,61,1,33
108,716,21,5,78
407,525,57,1,7
109,338,46,1,23
169,974,84,3,-1
407,614,45,3,-1
109,541,40,1,9
408,363,54,1,68
110,700,36,1,0
239,441,51,1,19
301,462,45,1,38
335,44,72,3,-1
301,147,11,5,83
110,845,23,5,78
408,106,74,3,-1
170,921,30,1,43
203,605,40,3,-1
240,405,47,1,44
440,92,68,3,-1
171,534,42,1,62
408,707,37,3,-1
203,263,97,3,-1
240,769,24,5,78
204,347,59,1,7
409,890,34,1,33
110,683,19,5,78
441,612,40,1,29
171,48,71,3,-1
441,864,32,1,2
172,790,38,1,47
