cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member
185601,1856,44,,,F,true,false,false,false,false,false,3,1,3,false,false,N
185602,1856,9,,,F,true,false,false,false,false,false,3,1,3,false,false,N
185603,1856,,60,65,M,false,false,false,false,false,true,3,1,4,false,false,N
185604,1856,,40,45,F,false,false,false,false,false,true,4,1,4,false,false,N
185605,1856,,40,45,F,false,false,false,false,false,true,4,1,4,false,false,N
185606,1856,,35,40,M,false,false,false,false,false,true,4,1,4,false,false,N
185607,1856,,50,55,M,false,false,false,false,false,true,4,1,4,false,false,N
225101,2251,41,,,F,true,false,false,true,false,true,1,1,5,false,false,Y
225102,2251,11,,,M,true,false,true,true,false,false,1,1,5,false,false,Y
225103,2251,7,,,F,false,false,true,true,false,false,2,1,2,false,false,N
225104,2251,10,,,M,false,false,true,true,false,false,2,1,2,false,false,N
225105,2251,8,,,F,false,false,true,false,false,false,2,1,4,false,false,N
225106,2251,8,,,F,false,false,true,false,false,false,2,1,4,false,false,N
225107,2251,8,,,M,false,false,true,false,false,false,2,1,4,false,false,N
225108,2251,8,,,M,false,false,true,false,false,false,2,1,4,false,false,N
225109,2251,56,,,M,false,false,true,false,false,false,2,1,4,false,false,N
225110,2251,8,,,F,false,false,true,false,false,false,2,1,3,false,false,N
225111,2251,7,,,F,false,false,true,false,false,false,2,1,3,false,false,N
225112,2251,42,,,F,false,false,false,false,false,true,2,1,3,false,false,N
225113,2251,27,,,F,false,false,false,false,false,true,3,1,3,false,false,N
225114,2251,8,,,M,false,false,false,false,false,true,3,1,3,false,false,N
225115,2251,9,,,F,false,false,false,false,false,true,3,1,3,false,false,N
225116,2251,8,,,M,false,false,false,false,false,true,3,1,3,false,false,N
225117,2251,8,,,M,false,false,false,false,false,true,3,1,3,false,false,N
225118,2251,63,,,F,false,false,false,false,false,true,3,2,1,false,false,N
225119,2251,67,,,F,true,false,false,false,false,false,1,1,4,false,false,N
225120,2251,42,,,M,true,false,false,false,false,false,1,1,1,false,false,Y
529401,5294,,30,40,F,false,true,false,false,false,false,2,2,5,false,false,N
529402,5294,,50,60,M,false,true,false,false,false,false,2,2,5,false,false,N
529403,5294,45,,,F,true,false,false,false,false,false,1,1,5,false,false,Y
529404,5294,,20,30,F,false,false,false,false,true,false,3,2,1,false,false,N
529405,5294,,45,55,M,false,false,false,false,false,true,4,1,3,false,false,N
529406,5294,,20,30,F,false,false,false,false,true,false,4,2,1,false,false,N
529407,5294,,20,30,F,false,false,false,false,true,false,5,,1,false,false,N
529408,5294,,20,30,F,false,false,false,false,true,false,5,,1,false,false,N
529409,5294,,20,30,F,false,false,false,false,true,false,5,,1,false,false,N
529410,5294,,20,30,M,false,false,false,false,true,false,5,,1,false,false,N
596601,5966,56,,,F,true,false,false,false,false,false,1,2,4,false,false,Y
596602,5966,80,,,F,false,false,false,false,false,true,2,2,3,false,false,N
596603,5966,,40,50,F,false,true,false,false,false,false,2,1,5,false,false,N
596604,5966,,40,50,M,false,true,false,false,false,false,2,1,5,false,false,N
596605,5966,,30,40,F,false,true,false,false,false,false,2,1,5,false,false,N
596606,5966,,20,30,F,false,true,false,false,false,false,2,1,5,false,false,N
596607,5966,,30,40,F,false,true,false,false,false,false,2,1,5,false,false,N
596608,5966,,40,45,M,false,true,false,false,false,false,2,1,3,false,false,N
596609,5966,,20,30,F,false,true,false,false,false,false,2,2,4,false,false,N
596610,5966,,30,33,M,false,true,false,false,false,false,3,2,3,false,false,N
596611,5966,,40,50,M,false,true,false,false,false,false,2,1,3,false,false,N
596612,5966,,40,45,M,false,true,false,false,false,false,2,1,3,false,false,N
596613,5966,,50,55,M,false,true,false,false,false,false,3,1,2,false,false,N
596614,5966,56,,,M,false,false,false,false,false,true,3,2,4,false,false,N
596615,5966,,60,70,M,false,false,false,false,false,true,3,2,4,false,false,N
596616,5966,,45,50,M,false,false,false,false,false,true,3,2,4,false,false,N
596617,5966,,30,40,F,false,false,false,false,false,true,3,2,4,false,false,N
596618,5966,,60,65,M,false,false,false,false,false,true,3,2,4,false,false,N
596619,5966,,65,70,F,false,false,false,false,false,true,3,2,4,false,false,N
596620,5966,,30,40,F,false,false,false,false,false,true,3,2,4,false,false,N
596621,5966,,50,60,M,false,false,false,false,false,true,3,2,4,false,false,N
596622,5966,,40,50,M,false,false,false,false,false,true,3,2,4,false,false,N
596623,5966,,30,40,F,false,false,false,false,false,true,3,2,4,false,false,N
596624,5966,,55,60,M,false,false,false,false,false,true,3,2,4,false,false,N
596625,5966,58,,,M,false,false,false,false,false,true,3,2,4,false,false,N
628601,6286,81,,,F,true,false,false,false,false,false,1,1,4,false,false,N
628602,6286,82,,,M,true,false,false,false,false,false,1,1,4,false,false,N
628603,6286,52,,,F,true,false,false,false,false,false,1,1,4,false,false,N
628604,6286,,18,22,F,false,false,false,false,false,true,3,2,2,false,false,N
628605,6286,,40,45,F,false,false,false,false,false,true,2,2,2,false,false,N
628606,6286,,20,25,F,false,false,false,false,false,true,2,2,2,false,false,N
628607,6286,,40,45,F,false,false,false,false,false,true,3,2,2,false,false,N
628608,6286,65,,,M,false,false,true,false,false,false,3,2,1,false,false,N
628609,6286,42,,,M,false,false,false,false,false,true,2,2,2,false,false,N
628610,6286,80,,,F,false,false,false,false,true,false,2,1,3,false,false,N
628611,6286,56,,,F,false,false,false,false,true,false,2,1,3,false,false,N
628612,6286,60,,,M,false,false,false,false,true,false,3,1,3,false,false,N
628613,6286,,40,45,F,false,false,false,false,true,false,5,2,2,false,false,N
628614,6286,,40,45,M,false,false,false,false,true,false,5,2,2,false,false,N
628615,6286,48,,,F,false,false,false,false,false,true,2,1,5,false,false,N
628616,6286,48,,,M,false,false,false,false,false,true,2,1,5,false,false,N
628617,6286,46,,,M,false,false,false,false,false,true,4,1,5,false,false,N
628618,6286,46,,,F,false,false,false,false,false,true,4,1,5,false,false,N
628619,6286,46,,,F,false,false,false,false,false,true,4,1,5,false,false,N
628620,6286,50,,,F,false,false,false,false,false,true,4,1,5,false,false,N
628621,6286,49,,,M,false,false,false,false,false,true,5,1,5,false,false,N
628622,6286,52,,,M,false,false,false,false,false,true,4,1,5,false,false,N
628623,6286,54,,,M,false,false,false,false,false,true,4,1,5,false,false,N
628624,6286,9,,,M,false,false,false,false,false,true,4,1,4,false,false,N
628625,6286,7,,,F,false,false,false,false,false,true,4,1,4,false,false,N
628626,6286,17,,,M,false,false,false,false,false,true,5,1,4,false,false,N
628627,6286,15,,,M,false,false,false,false,false,true,5,1,4,false,false,N
628628,6286,8,,,F,false,false,false,false,false,true,5,1,4,false,false,N
628629,6286,7,,,F,false,false,false,false,false,true,5,1,4,false,false,N
628630,6286,6,,,F,false,false,false,false,false,true,5,1,4,false,false,N
692701,6927,49,,,M,true,false,false,false,false,false,1,1,5,false,false,Y
692702,6927,48,,,F,true,false,false,false,false,false,1,1,1,false,false,Y
692703,6927,16,,,M,true,false,false,false,false,false,1,1,4,false,false,Y
692704,6927,12,,,M,false,false,true,true,false,false,1,2,5,false,false,N
692705,6927,12,,,M,false,false,true,true,false,false,1,2,5,false,false,N
692706,6927,12,,,M,false,false,true,false,false,false,1,2,2,false,false,N
692707,6927,12,,,M,false,false,true,false,false,false,1,1,3,false,false,N
692708,6927,12,,,M,false,false,true,false,false,false,1,1,3,false,false,N
692709,6927,12,,,M,false,false,true,false,false,false,1,1,3,false,false,N
692710,6927,12,,,M,false,false,true,false,false,false,1,2,1,false,false,N
692711,6927,12,,,M,false,false,true,false,false,false,1,1,2,false,false,N
692712,6927,12,,,M,false,false,true,false,false,false,1,1,2,false,false,N
692713,6927,12,,,M,false,false,true,false,false,false,1,2,4,false,false,N
692714,6927,,50,60,F,false,false,true,false,false,false,1,2,3,false,false,N
692715,6927,12,,,F,false,false,true,false,false,false,1,2,3,false,false,N
692716,6927,12,,,F,false,false,true,false,false,false,1,2,3,false,false,N
692717,6927,12,,,F,false,false,true,false,false,false,1,2,2,false,false,N
692718,6927,12,,,F,false,false,true,false,false,false,1,2,2,false,false,N
692719,6927,12,,,F,false,false,true,false,false,false,1,2,2,false,false,N
692720,6927,,45,50,F,false,false,true,false,false,false,1,2,3,false,false,N
692721,6927,12,,,M,false,false,true,false,false,false,1,2,1,false,false,N
692722,6927,,35,40,F,false,false,false,false,false,true,2,2,1,false,false,N
692723,6927,40,,,F,false,false,false,false,false,true,2,2,2,false,false,N
692724,6927,12,,,M,false,false,false,false,false,true,2,1,4,false,false,N
692725,6927,12,,,M,false,false,false,false,false,true,2,1,4,false,false,N
692726,6927,,25,30,M,false,false,false,false,false,true,2,1,3,false,false,N
692727,6927,,20,25,M,false,false,false,false,false,true,2,1,3,false,false,N
692728,6927,,35,45,M,false,false,false,false,false,true,2,1,1,false,false,N
692729,6927,,35,45,M,false,false,false,false,false,true,2,1,1,false,false,N
692730,6927,,25,30,M,false,false,false,false,false,true,2,1,2,false,false,N
692731,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692732,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692733,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692734,6927,12,,,M,false,false,false,false,false,true,2,1,2,false,false,N
692735,6927,12,,,M,false,false,false,false,false,true,2,1,2,false,false,N
692736,6927,12,,,M,false,false,false,false,false,true,2,1,2,false,false,N
692737,6927,12,,,M,false,false,false,false,false,true,2,1,2,false,false,N
692738,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692739,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692740,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692741,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692742,6927,12,,,M,false,false,false,false,false,true,2,1,2,false,false,N
692743,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692744,6927,12,,,M,false,false,false,false,false,true,2,1,3,false,false,N
692745,6927,12,,,M,false,false,false,false,false,true,2,1,2,false,false,N
692746,6927,11,,,M,false,false,false,false,false,true,2,2,1,false,false,N
692747,6927,11,,,M,false,false,false,false,false,true,2,2,1,false,false,N
692748,6927,11,,,M,false,false,false,false,false,true,2,2,1,false,false,N
692749,6927,11,,,M,false,false,false,false,false,true,2,2,1,false,false,N
692750,6927,41,,,M,false,false,false,false,false,true,2,2,2,false,false,N
993001,9930,,18,29,M,false,true,false,false,false,false,1,2,5,false,false,N
993002,9930,,30,60,M,false,true,false,false,false,false,1,2,5,false,false,N
993003,9930,,30,60,M,false,true,false,false,false,false,1,2,4,false,false,N
993004,9930,,30,60,M,false,true,false,false,false,false,1,2,5,false,false,N
993005,9930,,30,60,M,false,true,false,false,false,false,1,2,4,false,false,N
993006,9930,,30,60,M,false,true,false,false,false,false,1,2,4,false,false,N
993007,9930,,18,29,M,false,true,false,false,false,false,1,2,4,false,false,N
993008,9930,,18,20,M,false,true,false,false,false,false,1,2,4,false,false,N
993009,9930,,30,60,M,false,true,false,false,false,false,1,2,4,false,false,N
993010,9930,,30,60,M,false,false,false,false,true,false,2,1,4,false,false,N
993011,9930,,30,60,M,false,false,false,false,true,false,2,1,4,false,false,N
993012,9930,,3,11,M,false,false,false,false,false,false,1,1,4,false,false,Y
993013,9930,,12,17,M,false,false,false,false,false,false,1,1,4,false,false,Y
993014,9930,,30,60,F,false,false,false,false,false,false,1,1,5,false,false,Y
1041901,10419,53,,,M,true,false,false,false,false,false,1,2,5,false,false,Y
1041902,10419,,25,30,F,false,false,false,false,false,true,5,2,1,false,false,N
1041903,10419,,55,60,F,false,false,false,false,true,false,3,2,1,false,false,N
1041904,10419,,30,35,F,false,false,false,false,true,false,5,2,3,false,false,N
1041905,10419,35,,,M,false,false,false,false,true,false,3,2,3,false,false,N
1050401,10504,,37,42,M,false,true,false,false,false,false,2,1,3,false,false,N
1050402,10504,,50,55,M,false,true,false,false,false,false,2,2,3,false,false,N
1050403,10504,,45,50,F,false,true,false,false,false,false,2,2,3,false,false,N
1050404,10504,,25,30,M,false,true,false,false,false,false,3,2,1,false,false,N
1050405,10504,,30,35,M,false,true,false,false,false,false,4,2,1,false,false,N
1050406,10504,,32,37,M,false,true,false,false,false,false,4,2,1,false,false,N
1050407,10504,,27,32,M,false,true,false,false,false,false,3,2,2,false,false,N
1050408,10504,54,,,F,true,false,false,false,false,false,1,2,3,false,false,Y
1050409,10504,57,,,M,true,false,false,false,false,false,1,2,3,false,false,Y
1050410,10504,23,,,F,true,false,false,false,false,false,1,1,2,false,false,Y
1050411,10504,25,,,F,true,false,false,false,false,false,1,1,4,false,false,N
1295801,12958,38,,,F,true,false,false,false,false,false,3,1,4,false,false,N
1295802,12958,46,,,M,true,false,false,false,false,false,1,1,5,false,false,Y
1295803,12958,,35,40,F,false,false,false,false,false,true,3,2,2,false,false,N
1960701,19607,48,,,F,true,false,false,false,false,false,1,1,4,false,false,Y
1960702,19607,15,,,M,true,false,false,false,false,false,1,1,4,false,false,Y
1960703,19607,13,,,M,true,false,false,false,false,false,1,1,4,false,false,Y
1960704,19607,24,,,F,false,false,false,true,false,false,2,1,2,false,false,N
1960705,19607,24,,,M,false,false,false,true,false,false,2,1,2,false,false,N
1960706,19607,0,,,M,false,false,false,true,false,false,2,1,2,false,false,N
1960707,19607,46,,,M,false,true,false,false,false,false,2,1,5,false,false,N
1960708,19607,55,,,F,false,true,false,false,false,false,2,1,4,false,false,N
1960709,19607,40,,,F,false,true,false,false,false,false,5,2,2,false,false,N
1960710,19607,40,,,M,false,true,false,false,false,false,5,2,2,false,false,N
1960711,19607,45,,,M,false,true,false,false,false,false,1,1,5,false,false,N
1960712,19607,36,,,M,false,true,false,false,false,false,2,2,4,false,false,N
1960713,19607,49,,,M,false,true,false,false,false,false,2,1,4,false,false,N
1960714,19607,53,,,M,false,true,false,false,false,false,2,2,3,false,false,N
1960715,19607,50,,,M,false,true,false,false,false,false,2,2,4,false,false,N
1960716,19607,30,,,F,false,false,false,true,false,false,3,2,2,false,false,N
1960717,19607,30,,,F,false,false,false,false,true,false,3,1,3,false,false,N
1960718,19607,35,,,M,false,false,false,false,true,false,4,1,3,false,false,N
1960719,19607,55,,,F,true,false,false,false,false,false,2,1,3,false,false,N
1960720,19607,30,,,F,true,false,false,false,false,false,3,1,3,false,false,N
1960721,19607,35,,,F,false,false,false,false,false,true,2,2,2,false,false,N
1960722,19607,40,,,M,false,false,false,false,false,true,2,2,2,false,false,N
1960723,19607,55,,,M,true,false,false,false,false,false,2,1,3,false,false,N
1960724,19607,19,,,F,true,false,false,false,false,false,2,1,3,false,false,N
1960725,19607,,,,M,false,true,false,false,false,false,2,1,2,false,false,N
1960726,19607,35,,,M,false,true,false,false,false,false,3,2,3,false,false,N
1960727,19607,5,,,F,false,true,false,false,false,false,1,2,3,false,false,N
1960728,19607,57,,,F,false,true,false,false,false,false,4,1,4,false,false,N
1960729,19607,33,,,M,false,true,false,false,false,false,1,1,5,false,false,N
1960730,19607,46,,,F,false,true,false,false,false,false,2,2,2,false,false,N
1960731,19607,,,,F,false,true,false,false,false,false,2,2,2,false,false,N
1960732,19607,22,,,F,false,true,false,false,false,false,2,2,4,false,false,N
1960733,19607,71,,,M,false,true,false,false,false,false,3,2,4,false,false,N
1960734,19607,,,,M,false,true,false,false,false,false,5,2,1,false,false,N
1960735,19607,,,,F,false,true,false,false,false,false,2,1,3,false,false,N
1960736,19607,43,,,F,false,true,false,false,false,false,2,2,1,false,false,N
1960737,19607,,,,F,false,true,false,false,false,false,2,1,4,false,false,N
1960738,19607,72,,,M,false,true,false,false,false,false,3,2,4,false,false,N
1960739,19607,35,,,F,false,true,false,false,false,false,3,2,4,false,false,N
1960740,19607,64,,,M,false,true,false,false,false,false,2,2,5,false,false,N
1960741,19607,14,,,M,false,true,false,false,false,false,1,2,5,false,false,N
1960742,19607,48,,,M,false,true,false,false,false,false,2,2,3,false,false,N
1960743,19607,40,,,M,false,true,false,false,false,false,1,1,5,false,false,N
1960744,19607,32,,,M,false,true,false,false,false,false,2,2,2,false,false,N
1960745,19607,,,,M,false,true,false,false,false,false,1,2,5,false,false,N
1960746,19607,,,,M,false,true,false,false,false,false,2,2,4,false,false,N
1960747,19607,37,,,F,false,true,false,false,false,false,3,2,1,false,false,N
1960748,19607,27,,,F,false,true,false,false,false,false,2,2,4,false,false,N
1960749,19607,,,,M,false,true,false,false,false,false,2,2,4,false,false,N
2174801,21748,,40,45,M,false,true,false,false,false,false,1,1,2,false,false,N
2174802,21748,,50,58,F,false,true,false,false,false,false,2,2,3,false,false,N
2174803,21748,62,,,F,false,true,false,false,false,false,1,2,1,false,false,N
2174804,21748,,45,50,F,false,false,false,false,false,true,5,2,1,false,false,N
2174805,21748,,45,50,F,false,true,false,false,false,false,1,1,1,false,false,N
2174806,21748,,35,40,M,false,true,false,false,false,false,1,2,2,false,false,N
2174807,21748,,25,30,F,false,true,false,false,false,false,2,1,3,false,false,N
2174808,21748,,35,40,M,false,true,false,false,false,false,2,2,1,false,false,N
2174809,21748,,35,40,M,false,true,false,false,false,false,1,1,3,false,false,N
2174810,21748,,40,45,M,false,true,false,false,false,false,1,1,3,false,false,N
2174811,21748,,25,30,M,false,true,false,false,false,false,2,2,2,false,false,N
2174812,21748,,35,40,F,false,true,false,false,false,false,1,1,2,false,false,N
2174813,21748,,35,40,F,false,true,false,false,false,false,2,1,1,false,false,N
2174814,21748,,35,40,M,false,true,false,false,false,false,2,1,1,false,false,N
2174815,21748,,25,30,M,false,true,false,false,false,false,3,2,2,false,false,N
2174816,21748,,40,45,F,false,true,false,false,false,false,2,2,2,false,false,N
