part_id,part_age,part_gender,part_occupation
1856,70,M,2
2251,8,F,5
5294,44,M,1
5966,57,M,1
6286,46,M,1
6927,12,M,5
9930,45,M,1
10419,55,F,1
10504,26,M,1
12958,42,F,6
19607,47,M,1
21748,53,M,1
22259,51,F,3
25946,25,F,1
27902,52,F,1
27905,14,F,5
29501,1,F,6
31741,34,F,1
32126,69,M,2
33118,71,M,2
36037,44,F,1
36421,52,F,1
38226,78,F,3
39743,87,M,2
40026,3,M,6
40027,3,F,5
40028,3,M,5
40029,3,F,5
40030,4,M,5
40032,5,M,5
40033,8,M,5
40034,80,M,2
40036,83,F,2
41931,7,M,5
42430,69,F,3
43226,65,M,2
43404,20,M,5
45114,84,F,2
46508,86,F,2
46568,60,M,1
46753,36,M,6
46755,45,M,6
48977,63,M,1
50042,5,M,5
50046,5,F,5
50047,4,M,5
50049,8,F,5
50050,0,F,6
54681,55,F,3
55197,50,F,1
55976,61,F,3
56016,52,M,1
59635,34,F,1
59730,29,F,1
60001,99,F,3
60002,95,M,2
60003,97,F,2
60004,91,F,2
60005,91,F,NA
60006,88,F,3
60007,90,F,3
60008,90,F,2
60009,89,F,3
60011,93,F,2
60012,95,F,3
65989,47,F,3
72620,32,F,1
77167,46,F,3
78144,75,M,2
81043,54,M,1
81678,52,M,1
81991,22,M,5
84346,52,F,1
92192,51,F,4
93834,36,F,4
97902,66,F,2
101292,51,M,4
101499,38,F,1
101565,76,F,2
102388,33,F,1
104728,24,M,5
108387,17,M,5
108837,68,F,2
111403,75,F,2
113146,36,F,1
115983,42,F,4
118408,13,M,5
118535,45,M,1
120038,51,F,6
120152,51,F,1
120226,24,F,1
123951,19,F,5
124592,31,F,1
127249,54,F,1
127270,36,F,1
127299,44,F,1
129718,79,M,2
130779,77,M,2
132169,16,F,5
132701,69,F,2
133609,78,F,3
140370,53,F,1
143921,56,M,1
147268,40,F,1
147532,20,F,5
151212,32,F,1
154799,4,M,5
160773,42,F,1
163265,37,M,1
163924,49,F,1
170596,21,M,1
170729,48,F,1
170929,46,F,1
172249,65,M,2
174345,74,F,2
178287,6,M,5
181118,1,M,6
181882,41,F,1
184160,50,M,1
188189,49,M,1
188749,71,M,2
191529,51,F,1
192682,56,F,1
201795,16,M,5
205052,29,M,1
210174,9,M,5
213544,52,M,1
215665,69,M,1
216250,33,F,1
216622,38,F,1
217612,52,F,1
218307,4,M,5
218575,12,M,5
221582,71,M,2
222889,43,F,1
223825,24,F,1
225664,28,M,1
227760,25,M,1
231634,50,M,1
236095,55,M,1
237254,46,F,1
238070,27,M,1
239183,29,M,1
239374,3,F,5
241778,33,F,1
243369,78,M,2
244303,37,F,3
244706,57,F,3
249821,31,F,1
255010,49,F,1
256146,37,F,1
258605,69,M,2
262080,51,F,1
270985,31,M,6
274203,23,M,1
278685,25,F,1
279254,18,M,5
280492,45,F,1
282627,52,M,1
285321,48,F,1
287388,1,M,3
291891,88,M,1
293498,81,F,2
295573,27,F,1
296341,50,F,1
299253,44,F,3
301380,11,F,5
301390,16,F,5
301545,54,M,1
302280,50,F,1
302511,81,F,3
310248,41,M,1
320422,35,M,1
321110,37,F,1
321267,26,F,1
327374,45,M,1
328869,48,M,1
332397,73,M,2
333698,55,M,1
333803,24,F,1
334010,0,M,3
343842,7,F,5
348080,45,M,1
350282,72,F,3
351232,6,F,5
352221,32,M,1
354251,30,M,1
356060,0,F,6
357065,32,M,1
358257,32,F,1
358496,30,M,1
358599,50,F,1
359305,76,F,3
359677,86,M,2
364557,39,F,1
370614,52,F,6
374335,20,M,5
375326,26,F,1
379514,56,M,6
384555,32,M,1
384769,40,F,1
386213,28,M,1
386919,41,F,1
387316,10,F,5
390853,44,F,1
390885,74,M,2
395326,35,F,1
398508,13,M,5
400839,63,F,3
401108,54,M,1
403196,6,M,5
413191,74,M,2
423858,34,F,1
426803,71,M,2
427469,17,M,5
429622,35,F,1
433959,70,F,2
434554,7,M,5
437552,0,M,3
440307,17,M,5
440673,25,F,1
444168,60,F,1
445518,33,F,1
447699,27,M,1
450487,42,F,1
452932,56,F,3
459120,64,F,3
461022,3,F,5
462393,30,F,1
475876,80,M,2
479362,31,M,1
483004,56,F,4
483452,19,F,5
484521,18,M,5
485163,1,F,3
487913,52,M,1
493829,10,M,5
494521,71,F,2
496477,29,F,1
498382,32,F,1
498428,25,F,1
499299,74,F,3
502804,74,M,2
505287,3,M,5
510954,38,F,1
512085,14,F,5
519786,49,M,1
519853,26,M,1
526803,21,F,5
527040,52,M,1
527208,35,F,1
527263,67,F,2
531555,48,M,6
533030,9,M,5
534460,57,F,4
534636,20,F,5
537177,52,M,2
545163,3,F,5
545368,67,F,2
545556,5,M,5
546107,51,F,1
546929,47,F,1
547516,20,M,1
548628,0,M,6
551273,33,F,1
553002,41,F,1
553393,7,F,5
556142,16,F,5
556706,19,M,4
561144,50,M,1
566160,53,F,3
566343,13,F,5
566367,15,M,5
571109,45,F,1
571324,30,M,1
572734,4,F,5
576031,8,M,5
576680,27,F,1
581550,68,M,2
583315,44,M,1
584049,27,F,1
584918,53,M,1
592766,32,F,1
593600,39,M,1
594259,62,M,2
597056,6,M,5
598711,47,M,1
603778,44,M,1
604026,48,M,1
604197,74,F,2
606424,73,F,2
611896,5,M,5
616530,60,M,2
617467,46,F,1
617545,39,F,3
621307,34,M,1
621662,22,F,5
624215,80,F,3
625175,45,F,NA
625820,41,F,1
628628,25,M,1
628763,2,M,6
629762,34,F,1
633492,54,M,1
636625,4,M,5
637994,84,F,3
642349,56,F,3
645379,57,F,1
645787,17,M,5
