min_age,max_age,size,home_perc,work_perc,school_perc,transport_perc,leisure_perc,otherplace_perc
0,10,3392,19.899765,14.416273,45.371464,6.1025944,5.6898584,16.39151
10,20,3497,21.332571,31.398342,24.192165,6.6914496,13.583071,11.181012
20,30,3579,19.195307,35.40095,5.644035,4.610226,20.257055,19.279129
30,40,4195,22.026222,39.45173,5.101311,5.649583,14.0405245,20.786652
40,50,4540,20.198238,42.246696,4.3612337,5.0881057,13.436123,19.185022
50,60,2946,22.40326,40.190086,2.0706043,5.4989815,13.645621,19.687712
60,70,1568,25.191326,25.829082,1.0204082,7.5255103,12.436225,32.39796
70,80,899,26.585094,22.580645,0.6674082,6.785317,9.566185,37.486095
80,90,400,31.75,23.75,0.0,5.5,9.5,32.0
90,100,85,34.117645,32.941177,0.0,1.1764706,11.764706,21.17647
