min_age,max_age,size,home_perc,work_perc,school_perc,transport_perc,leisure_perc,otherplace_perc
0,10,3659,18.447662,13.364307,42.060673,5.6572833,5.2746654,15.195409
10,20,3790,19.683378,28.970976,22.3219,6.1741424,12.532982,10.316623
20,30,3736,18.38865,33.913277,5.4068522,4.416488,19.40578,18.46895
30,40,4491,20.574482,36.851482,4.7650857,5.277221,13.115119,19.41661
40,50,4745,19.325605,40.421497,4.1728134,4.8682823,12.855638,18.356165
50,60,3049,21.64644,38.832405,2.000656,5.3132176,13.18465,19.02263
60,70,1637,24.129505,24.74038,0.9773977,7.2083077,11.912034,31.032377
70,80,932,25.643776,21.781116,0.64377683,6.5450644,9.227468,36.1588
80,90,410,30.975609,23.170732,0.0,5.365854,9.268292,31.219513
90,100,86,33.720932,32.55814,0.0,1.1627907,11.627907,20.930233
